book_id,title,author,isbn,category,copies
1,The Hobbit,Stephen Hawking,929-9187,Dystopian,24
2,The Theory of Everything,J.R.R. Tolkien,802-6082,Philosophy,39
3,The Hobbit,J.D. Salinger,612-3255,History,54
4,The Theory of Everything,Dan Brown,561-3915,Philosophy,87
5,The Theory of Everything,Yuval Noah Harari,425-8186,Science,66
6,The Great Gatsby,George Orwell,834-1192,Biography,30
7,The Alchemist,J.D. Salinger,838-3308,Biography,43
8,The Great Gatsby,J.R.R. Tolkien,309-1639,Romance,88
9,Harry Potter,Stephen Hawking,270-8422,Dystopian,66
10,The Hobbit,J.R.R. Tolkien,418-2346,Science,49
11,The Da Vinci Code,George Orwell,538-3053,Philosophy,53
12,The Hobbit,J.D. Salinger,441-5658,Classic,61
13,Harry Potter,J.D. Salinger,421-5338,Dystopian,49
14,To Kill a Mockingbird,Harper Lee,638-9657,Fantasy,11
15,To Kill a Mockingbird,Yuval Noah Harari,644-3851,Fiction,53
16,The Alchemist,Yuval Noah Harari,416-7090,Classic,48
17,To Kill a Mockingbird,Stephen Hawking,495-5180,Thriller,24
18,The Great Gatsby,J.R.R. Tolkien,372-3972,Philosophy,51
19,The Theory of Everything,Dan Brown,845-3879,Biography,21
20,The Great Gatsby,F. Scott Fitzgerald,405-8027,Fiction,10
21,The Da Vinci Code,J.K. Rowling,117-7600,Thriller,64
22,1984,Yuval Noah Harari,712-9382,Biography,96
23,The Theory of Everything,Paulo Coelho,632-4904,Classic,77
24,The Catcher in the Rye,J.R.R. Tolkien,273-8644,Philosophy,84
25,The Da Vinci Code,George Orwell,446-5517,Fiction,79
26,The Da Vinci Code,Dan Brown,372-9682,Science,19
27,The Da Vinci Code,Paulo Coelho,708-2513,Thriller,18
28,The Alchemist,Dan Brown,525-1040,Dystopian,69
29,Harry Potter,Yuval Noah Harari,592-9299,History,42
30,The Great Gatsby,Yuval Noah Harari,553-2036,Romance,42
31,1984,J.D. Salinger,650-6400,Fiction,51
32,Sapiens,Stephen Hawking,633-2792,Romance,49
33,The Great Gatsby,Stephen Hawking,166-1983,Philosophy,53
34,The Theory of Everything,F. Scott Fitzgerald,399-9515,Dystopian,62
35,The Great Gatsby,George Orwell,681-9290,Biography,34
36,Sapiens,Paulo Coelho,841-8288,Science,40
37,1984,Stephen Hawking,117-3104,Dystopian,23
38,The Da Vinci Code,J.D. Salinger,178-1444,Philosophy,28
39,The Hobbit,J.D. Salinger,183-5076,Romance,60
40,The Hobbit,Dan Brown,521-2536,Classic,73
